osm_id;tipo_apoyo;nombre;operador;voltaje;latitud;longitud
1436969071;tower;;;;37,8557434;-1,1016919
1436969077;tower;;;;37,8584629;-1,1048874
1436969084;tower;;;;37,8606509;-1,1081762
1436969105;tower;;;;37,862825;-1,1114303
1436969125;tower;;;;37,864898;-1,1145407
1436969135;tower;;;;37,8670358;-1,1177304
1436969137;tower;;;;37,8694421;-1,1213419
1436969140;tower;;;;37,8717908;-1,1247766
1436969148;tower;;;;37,8742695;-1,1284883
1436969152;tower;;;;37,8768628;-1,1323293
1436969156;tower;;;;37,8796246;-1,1364601
1436969159;tower;;;;37,8821166;-1,1401541
1469647376;tower;;;;39,9788082;-0,0140504
1469647381;tower;;;;39,9788118;-0,0142235
1469647383;tower;;;;39,9794724;-0,0081096
1469647389;tower;;;;39,9796333;-0,0127986
1469647394;tower;;;;39,9799584;-0,0094014
1469647395;tower;;;;39,9801156;-0,0109546
1469647396;portal;;;;39,9783281;-0,0143565
1469647404;pole;;;;39,9815791;-0,0121894
1469647408;pole;;;;39,9823384;-0,0125064
1469647409;pole;;;;39,9825589;-0,0113643
1469647410;pole;;;;39,9834022;-0,0118524
1469647412;pole;;;;39,9835498;-0,010528
1469647419;pole;;;;39,9843345;-0,011271
1469647420;pole;;;;39,9844762;-0,009755
1469647421;pole;;;;39,9853899;-0,0106097
1469647422;pole;;;;39,9856284;-0,0087783
1469647423;pole;;;;39,9865227;-0,0098965
1469647425;pole;;;;39,9872137;0,0006112
1469647433;pole;;;;39,9874672;-0,0008331
1469647434;pole;;;;39,9875656;-0,0092455
1469647435;pole;;;;39,9876613;-0,0022922
1469647436;pole;;;;39,9878247;-0,0069405
1469647438;pole;;;;39,9879949;-0,0036874
1469647440;pole;;;;39,9886896;-0,0085341
